fra;strate2;jour;PourAvec;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-05-20;0;0.929747517674701;2.66706419332967;0.371005019072116;22.7579544630824;2.43015737392218
FR;0;2020-05-20;1;;0;0;0;0
FR;0;2020-05-20;2;;0;0;0;0
FR;0;2020-05-21;0;0.932727477667249;2.42419745393708;0.323325659191363;21.5272309861604;2.26923953432463
FR;0;2020-05-21;1;;0;0;0;0
FR;0;2020-05-21;2;;0;0;0;0
FR;0;2020-05-22;0;0.885048117786495;2.33032871417185;0.317365739206268;21.6136498259443;2.25731969435444
FR;0;2020-05-22;1;;0;0;0;0
FR;0;2020-05-22;2;;0;0;0;0
FR;0;2020-05-23;0;0.847798617879656;2.25582971435817;0.315875759209995;20.914849207692;2.16494093458548
FR;0;2020-05-23;1;;0;0;0;0
FR;0;2020-05-23;2;;0;0;0;0
FR;0;2020-05-24;0;0.768829678077157;2.15898101460039;0.317365739206268;20.8284303679081;2.12769143467864
FR;0;2020-05-24;1;;0;0;0;0
FR;0;2020-05-24;2;;0;0;0;0
FR;0;2020-05-25;0;0.74498999813678;2.01147299496931;0.290546099273344;20.94762876761;2.13365135466374
FR;0;2020-05-25;1;;0;0;0;0
FR;0;2020-05-25;2;;0;0;0;0
FR;0;2020-05-26;0;0.688370758278385;1.89227459526742;0.292036079269618;20.0566207298384;2.04425255488732
FR;0;2020-05-26;1;;0;0;0;0
FR;0;2020-05-26;2;;0;0;0;0
FR;0;2020-05-27;0;0.658571158352914;1.79989583549846;0.281606219295703;19.2326617918991;1.93250405516681
FR;0;2020-05-27;1;;0;0;0;0
FR;0;2020-05-27;2;;0;0;0;0
FR;0;2020-05-28;0;0.630261538423716;1.77903611555063;0.289056119277071;18.4683020538108;1.82224553544256
FR;0;2020-05-28;1;;0;0;0;0
FR;0;2020-05-28;2;;0;0;0;0
FR;0;2020-05-29;0;0.621321658446075;1.62705815593073;0.259256519351599;17.7099022357075;1.70602709573323
FR;0;2020-05-29;1;;0;0;0;0
FR;0;2020-05-29;2;;0;0;0;0
FR;0;2020-05-30;0;0.594502018513151;1.55106917612078;0.236906819407496;16.9202128376825;1.62258821594191
FR;0;2020-05-30;1;;0;0;0;0
FR;0;2020-05-30;2;;0;0;0;0
FR;0;2020-05-31;0;0.603441898490792;1.50040985624748;0.224986979437308;16.7905845780067;1.59129863602016
FR;0;2020-05-31;1;;0;0;0;0
FR;0;2020-05-31;2;;0;0;0;0
FR;0;2020-06-01;0;0.563212438591406;1.39313129651578;0.192207419519289;16.7712148380552;1.56447899608724
FR;0;2020-06-01;1;;0;0;0;0
FR;0;2020-06-01;2;;0;0;0;0
FR;0;2020-06-02;0;0.561722458595132;1.31714231670583;0.163897799590092;16.7280054181633;1.55106917612078
FR;0;2020-06-02;1;;0;0;0;0
FR;0;2020-06-02;2;;0;0;0;0
FR;0;2020-06-03;0;0.533412838665934;1.25903309685116;0.153467939616177;15.9189462801867;1.45869041635182
FR;0;2020-06-03;1;;0;0;0;0
FR;0;2020-06-03;2;;0;0;0;0
FR;0;2020-06-04;0;0.496163338759095;1.21433369696295;0.144528059638535;15.2633550818263;1.36631165658285
FR;0;2020-06-04;1;;0;0;0;0
FR;0;2020-06-04;2;;0;0;0;0
FR;0;2020-06-05;0;0.470833678822445;1.16963429707474;0.15048797962363;14.656933223343;1.28287277679154
FR;0;2020-06-05;1;;0;0;0;0
FR;0;2020-06-05;2;;0;0;0;0
FR;0;2020-06-06;0;0.451463938870889;1.14728459713064;0.15048797962363;13.9298229851615;1.21433369696295
FR;0;2020-06-06;1;;0;0;0;0
FR;0;2020-06-06;2;;0;0;0;0
FR;0;2020-06-07;0;0.420174358949144;1.10854511722753;0.147508019631082;13.8270143654186;1.19347397701512
FR;0;2020-06-07;1;;0;0;0;0
FR;0;2020-06-07;2;;0;0;0;0
FR;0;2020-06-08;0;0.399314639001314;1.09960523724989;0.151977959619903;13.8881035452659;1.19645393700767
FR;0;2020-06-08;1;;0;0;0;0
FR;0;2020-06-08;2;;0;0;0;0
FR;0;2020-06-09;0;0.365045099087022;1.04596595738404;0.147508019631082;13.4276997264173;1.12642487718281
FR;0;2020-06-09;1;;0;0;0;0
FR;0;2020-06-09;2;;0;0;0;0
FR;0;2020-06-10;0;0.329285579176457;1.01467637746229;0.157937879604997;13.011995307457;1.09513529726107
FR;0;2020-06-10;1;;0;0;0;0
FR;0;2020-06-10;2;;0;0;0;0
FR;0;2020-06-11;0;0.314385779213721;0.975936897559182;0.159427859601271;12.6499301683625;1.04745593738031
FR;0;2020-06-11;1;;0;0;0;0
FR;0;2020-06-11;2;;0;0;0;0
FR;0;2020-06-12;0;0.302465939243533;0.935707437659796;0.148997999627356;12.2357157293985;1.00275653749211
FR;0;2020-06-12;1;;0;0;0;0
FR;0;2020-06-12;2;;0;0;0;0
FR;0;2020-06-13;0;0.281606219295703;0.889518057775315;0.144528059638535;11.8691806503152;0.966997017581541
FR;0;2020-06-13;1;;0;0;0;0
FR;0;2020-06-13;2;;0;0;0;0
FR;0;2020-06-14;0;0.281606219295703;0.916337697708239;0.143038079642262;11.8319311504083;0.956567157607625
FR;0;2020-06-14;1;;0;0;0;0
FR;0;2020-06-14;2;;0;0;0;0
FR;0;2020-06-15;0;0.271176359321788;0.89994791774923;0.147508019631082;11.8915303502593;0.96252707759272
FR;0;2020-06-15;1;;0;0;0;0
FR;0;2020-06-15;2;;0;0;0;0
FR;0;2020-06-16;0;0.247336679381411;0.916337697708239;0.156447899608724;11.5294652111648;0.925277577685881
