dep,rms_sr,rms_sir,ratio,winner,r,max_variance,variance_peak_day,epidemic_peak_day,delay_variance,A,tau,T,max_deaths
54,1.212630244866287,2.2491374651422005,1.8547594987540543,SR,0.8547594987540543,7.663153173357254,8,21,13,8.378893524686552,23.72130560512864,10.913810420529186,9.857142857142858
55,0.4410269782006618,0.7948837873327488,1.802347308946453,SR,0.8023473089464531,1.0662704642296468,37,32,-5,2.7753703590300423,24.520783051102338,9.174763785495323,3.5714285714285716
56,0.33894937848695394,0.615924278700409,1.8171571266772975,SR,0.8171571266772975,0.6588921282798833,7,18,11,2.6221671817831234,18.136026506808008,7.494984949489302,3.2857142857142856
57,3.2107251355894446,5.342875853947085,1.664071394565579,SR,0.6640713945655791,66.62614936084324,7,18,11,23.546689917423304,18.329759553701155,7.823609988069969,28.857142857142858
58,0.19420440698155847,0.32417567230101135,1.6692498246540557,SR,0.6692498246540557,0.2746131419600806,37,30,-7,1.0095065367450022,29.52911645624936,6.10592152770883,1.4285714285714286
59,2.3880240850823227,4.177325392617898,1.7492810975873774,SR,0.7492810975873774,24.976003588248503,12,25,13,15.394280955398644,24.2866655701917,9.06755633319013,17.0
60,1.1793150016955922,2.2903095135402554,1.9420676496502636,SR,0.9420676496502636,15.167077820139042,7,17,10,9.456517982034052,20.543216109978136,11.31922509439828,11.285714285714286
61,0.20847105290243848,0.34284373594401646,1.6445627878344458,SR,0.6445627878344459,0.19612020632428792,11,23,12,1.1499337412471984,23.822105619427322,7.493058869272366,1.4285714285714286
62,1.029608694108492,2.337678169087041,2.270453020126416,SR,1.2704530201264161,6.007737160798387,16,33,17,7.841241409468859,29.34964371399175,9.368958439715424,8.714285714285714
63,0.2368571594622941,0.459435544812239,1.9397156744395465,SR,0.9397156744395465,0.46422964790311727,15,21,6,1.3858951064382836,26.69317842296281,7.52749903954076,2.0
64,0.20040345491025616,0.2512790048475482,1.2538656330055535,SR,0.2538656330055535,0.2188831576586679,7,10,3,0.8501679795556836,15.035747343537079,7.76118920520287,1.2857142857142858
65,0.1600006263629244,0.26064787935969636,1.6290428686727574,SR,0.6290428686727574,0.10417133886521641,12,25,13,0.764788033298767,28.113952461627793,8.765738024717246,1.0
66,0.1966674608358512,0.24556874412684757,1.2486495889211275,SR,0.24864958892112754,0.1804216191971294,7,11,4,0.7760443875017008,16.403835279813794,13.22313874978715,1.1428571428571428
67,2.4982268731786332,3.724799538485389,1.4909772921248419,SR,0.4909772921248418,48.225162592509534,7,13,6,14.624167341320666,18.696014158640384,12.240957916521408,20.714285714285715
68,3.782153770801248,5.25536403923893,1.389516227449838,SR,0.3895162274498381,141.65149136577708,7,10,3,25.557703851377124,11.713150324607641,6.195183680492614,32.0
69,1.730049380905334,3.6719469262891047,2.122452091146425,SR,1.1224520911464253,30.460305001121323,7,18,11,14.47954952508763,22.872660955491927,12.143221782325275,17.142857142857142
70,0.4255364699467235,0.7636948951167759,1.794663792770545,SR,0.7946637927705451,1.6175151379233013,10,16,6,3.2709693356367233,16.292106449063386,5.029489596003756,4.285714285714286
71,0.5899097366668031,1.160402187885554,1.9670843109697311,SR,0.967084310969731,2.4238618524332813,7,31,24,4.297924827416141,24.500920278005395,12.613579161986593,5.428571428571429
72,0.32851597880247413,0.5212461907620948,1.5866692167065122,SR,0.5866692167065122,0.6859161246916349,10,16,6,1.6295413273748955,31.849989935138513,14.420675471120694,2.2857142857142856
73,0.3875150440622941,0.5157475429622752,1.3309097307700068,SR,0.33090973077000696,0.47723704866561995,12,17,5,1.3075364479587934,30.556482734558802,15.32988790585713,2.0
74,0.5953462918733726,1.2138688720080806,2.038929088125176,SR,1.038929088125176,2.2862749495402555,8,17,9,4.286160717143632,22.943893605241488,9.74075654230373,5.428571428571429
75,4.462253964499005,12.275230285762156,2.75090355309715,SR,1.75090355309715,293.1661807580175,7,15,8,48.42622525192776,21.94420483097941,9.01760716867363,50.857142857142854
76,0.6796008776959105,1.3171312153749937,1.9380952241270473,SR,0.9380952241270473,3.013343799058085,9,16,7,4.860784634940879,22.254999295947023,9.202962282388194,5.857142857142857
77,1.9682182829023758,4.712313002483843,2.394202433449083,SR,1.394202433449083,22.028818120654854,10,30,20,16.69392305007945,28.1390397835832,9.842865315314565,20.0
78,1.5350557239428655,3.599487277601398,2.34485772826275,SR,1.3448577282627496,24.989571652836965,8,16,8,14.184825831161922,21.539265336103508,8.806355491414976,16.428571428571427
79,0.16529500255192087,0.20860295332817375,1.2620039935124439,SR,0.26200399351244397,0.11527248261942138,12,18,6,0.49934662904945004,24.23189407776403,11.539576034159799,1.0
80,0.8242538989615222,1.5649333248748278,1.8986059111718947,SR,0.8986059111718948,3.541152724826193,13,19,6,6.222119385849067,20.63921016981655,8.315820932501312,7.857142857142857
81,0.1003613115845974,0.25473726242349837,2.538201807065595,SR,1.538201807065595,0.10820811841220007,20,24,4,0.9471147593907371,25.04025614103329,5.189527665817566,1.1428571428571428
83,0.3837066804160614,0.9901657327893673,2.5805277398759627,SR,1.580527739875963,0.8680197353666741,7,28,21,3.666273260630955,26.235144570970117,9.095626806120041,4.714285714285714
