departement,population,max_deaths,rms_sr,rms_sir,ratio,winner,n_modes_sr,gamma,t_c_gamma,R2_gamma
56,825000.0,3.2857142857142856,0.16588443261897234,0.4729316596417262,2.8509707160286997,SR,4,-0.015809595819325378,71,0.0007341309470568245
18,433333.3333333333,2.4285714285714284,0.18968387264588923,0.33798368751369867,1.7818261658157017,SR,4,2.22125025248533,51,0.646492630218486
28,433333.3333333333,3.4285714285714284,0.25646088429951186,0.3951163759515226,1.5406496668321543,SR,4,1.7091501273447596,52,0.4464132394955889
36,433333.3333333333,2.7142857142857144,0.12554193781884582,0.2952718617686995,2.3519778880167532,SR,4,0.649959971750235,85,0.7786814859396747
37,433333.3333333333,2.857142857142857,0.1435877885983724,0.3465934765998822,2.4138088620428193,SR,4,2.2718465796771765,55,0.7582708504934368
41,433333.3333333333,1.8571428571428572,0.09267540585260042,0.21919589266719852,2.3652002454224808,SR,4,1.3811901984792245,52,0.6826949211787988
45,433333.3333333333,2.857142857142857,0.1184828406844996,0.3012047779437912,2.5421805909080977,SR,4,2.3060619863674816,50,0.7012521739829329
2A,170000.0,2.2857142857142856,0.1029601077754964,0.2595336230558939,2.5207201960375243,SR,4,2.1152649648702764,43,0.6021186340991578
08,560000.0,3.2857142857142856,0.16315530325086877,0.46525050933794354,2.8515806723277084,SR,4,0.3399039714789562,81,0.32118880140850586
10,560000.0,5.428571428571429,0.23557589678069424,0.6093922801454941,2.5868193158691377,SR,4,2.024342837477389,53,0.747267036252897
51,560000.0,10.0,0.28920966974113693,0.6806085355220796,2.353339485955889,SR,4,2.3631235331680562,55,0.47967285330341874
52,560000.0,4.142857142857143,0.23124371236355376,0.5744605462209723,2.4842212588155665,SR,4,1.7531455556906106,54,0.8916380884376269
54,560000.0,10.285714285714286,0.5943337132340298,1.058445397922848,1.7808940909028759,SR,4,1.9405914320261244,50,0.5155334510066394
55,560000.0,3.7142857142857144,0.254620180840969,0.3963203608599554,1.5565159036136642,SR,4,0.4087867023205584,80,0.5308760299405632
57,560000.0,29.714285714285715,0.8862328319070002,1.6639715041207146,1.8775782663571292,SR,4,2.3471861384404358,51,0.5081162692946983
67,560000.0,21.285714285714285,0.5750888796277057,1.0143138798468068,1.7637515100334429,SR,4,2.0528601868865697,48,0.6071884363911136
68,560000.0,34.142857142857146,0.725344237290666,1.4688666144137215,2.0250613969172613,SR,4,2.176588334721388,44,0.65706444673004
88,560000.0,8.0,0.3426680278086136,0.7318575895637248,2.1357626920842487,SR,4,1.8966017429339437,46,0.6008627242881163
02,1200000.0,9.285714285714286,0.2847322135565181,1.0112309052112705,3.551515624383489,SR,4,1.1486933104344819,52,0.7342164450555355
59,1200000.0,17.142857142857142,0.4720785644563657,2.051900319449841,4.346522960246586,SR,4,2.4753454622161564,52,0.69179085793493
60,1200000.0,11.714285714285714,0.4177980753679347,1.1299454742530428,2.7045253218506433,SR,4,1.7728401890960481,47,0.7029199695503258
62,1200000.0,9.0,0.44353404293668075,0.9594184828903038,2.1631225340402365,SR,4,2.6199555399566115,55,0.6616393453108362
80,1200000.0,8.0,0.23097625716393907,0.7798783040745737,3.376443594897473,SR,4,2.0992242530858127,52,0.5347493828951533
75,1525000.0,51.142857142857146,1.049588205246137,1.8927598804835744,1.803335699680149,SR,4,2.619889140650727,49,0.6701469757734734
77,1525000.0,20.285714285714285,0.4518570457394843,1.676222256845969,3.7096295668085824,SR,4,2.915226565250357,53,0.6246299312362062
78,1525000.0,16.571428571428573,0.3594930676830784,1.3538128564598582,3.765894194247304,SR,4,2.5105708144545806,50,0.6329911704099822
91,1525000.0,15.142857142857142,0.36816587998385064,1.2123828838828197,3.293034335327326,SR,4,3.083181814206378,53,0.6778774845335476
92,1525000.0,32.857142857142854,0.7694765914980675,2.0901105699639064,2.716275703585397,SR,4,2.4677990129483574,53,0.587695949978625
93,1525000.0,34.57142857142857,0.8890062874834228,1.6693459963182695,1.8777662428505575,SR,4,2.154357702317042,53,0.6538519151801709
94,1525000.0,38.714285714285715,0.8675932150558274,2.9512744385000502,3.401679943186443,SR,4,2.790808876933873,53,0.694940070046315
95,1525000.0,22.714285714285715,0.56608184310119,1.8307196760919922,3.2340194238746176,SR,4,2.120610197952936,51,0.5194573996081683
14,660000.0,3.142857142857143,0.15065128357966046,0.48285230885411007,3.205099202482337,SR,4,2.696469628393404,55,0.802779228255573
27,660000.0,3.142857142857143,0.16066204395223466,0.4493426317346647,2.79681884209226,SR,4,2.6354869709026296,56,0.7837628979562714
50,660000.0,1.7142857142857142,0.10021639387354059,0.28283117461233614,2.8222046681227675,SR,4,1.355214610098219,49,0.6421064795912453
61,660000.0,1.4285714285714286,0.08782412758492088,0.28958633351806773,3.2973436967882703,SR,4,2.211533294441163,52,0.7801506448078578
76,660000.0,6.0,0.18228798774015378,0.5796606664104101,3.179916974214996,SR,4,2.387875924085086,52,0.6416243971886242
16,500000.0,1.1428571428571428,0.059288911463417124,0.24409639901890812,4.117066631751576,SR,4,1.936139553524114,46,0.650203122810895
17,500000.0,1.5714285714285714,0.09427597177450506,0.3100383306808117,3.288625137934192,SR,4,1.85090642810019,51,0.4808702177719926
19,500000.0,1.1428571428571428,0.12731729199379468,0.220719263844076,1.7336157593960893,SR,4,1.0221983024234158,61,0.5336490312551508
33,500000.0,4.142857142857143,0.19296892483392897,0.49738691404393826,2.577549284020702,SR,4,3.209038467585923,47,0.7553597562641902
40,500000.0,1.4285714285714286,0.04941745154628281,0.25234272293629323,5.106348365616488,SR,4,1.3339246336672008,72,0.4120668487127561
64,500000.0,1.2857142857142858,0.06937072954231532,0.25907720527599254,3.7346760944464124,SR,4,2.061806380813017,48,0.7226499305921553
79,500000.0,1.0,0.07062785313065315,0.1956000936894743,2.769446967723022,SR,4,1.6129117282501833,51,0.8743360496494074
86,500000.0,1.5714285714285714,0.09704562284737914,0.24677894950503296,2.54291684946095,SR,4,1.9124702156238425,47,0.6904073874754265
87,500000.0,1.2857142857142858,0.0683665216920891,0.22505566707190766,3.2918987466631577,SR,4,0.5928482232159048,81,0.7206461835589999
11,453846.1538461539,2.2857142857142856,0.11517133957761921,0.30793967640237724,2.6737526673885967,SR,4,1.5527954746648465,40,0.6513875110369177
12,453846.1538461539,1.2857142857142858,0.07228130894080102,0.243093864124952,3.363163557594784,SR,4,0.2753586292774183,71,0.4515530502451929
